City,Country,Region,Page,Section,Source,PageViews,TimeOnPage,TotalDownloads,UniqueVisitors,Visits,ConversionRate
San Francisco,United States,North America,/faq,User,Organic,41,188,0,10,58,0
San Francisco,United States,North America,/gallery/college-football-recruiting,Examples,Linkedin,11,3492,0,10,39,0
San Francisco,United States,North America,/gallery/holiday-work-visa,Examples,Facebook,42,1730,0,10,38,0
San Francisco,United States,North America,/gallery,Examples,Linkedin,13,158,0,10,24,0
San Jose,United States,North America,/gallery/holiday-work-visa,Examples,Facebook,43,590,1,10,48,0.0208
Santa Clara,United States,North America,/gallery/taleof100,Examples,Facebook,42,1410,0,10,25,0
Santiago,Chile,South America,/examples,Training,Facebook,250,13400,0,100,440,0
Seattle,United States,North America,/upgrade,User,Linkedin,49,752,0,22,36,0
Seoul,South Korea,Asia,/gallery,Examples,Linkedin,130,1680,10,100,340,0.0294
Shanghai,China,Asia,/download,Register,Facebook,216,1584,2,80,472,0.0042
Singapore,Singapore,Asia,/comparison,User,Organic,340,8200,1,100,520,0.0019
Singapore,Singapore,Asia,/download,Register,Organic,360,19190,1,100,270,0.0037
Southfield,United States,North America,/knowledgebase/all,User,Organic,16,760,1,10,44,0.0227
Sydney,Australia,Oceania,/download,Register,Organic,90,3720,0,60,276,0
Torino,Italy,Europe,/download,Register,Linkedin,232,5120,1,80,272,0.0037
Trenton,United States,North America,/gallery/us-population-race,Examples,Organic,11,970,0,10,49,0
Vancouver,Canada,North America,/download,Register,Linkedin,156,5040,1,60,306,0.0033
Vancouver,Canada,North America,/upgrade,User,Facebook,126,10386,0,96,210,0
Washington,United States,North America,/gallery,Examples,Linkedin,33,1530,0,10,32,0
Washington,United States,North America,/faq,User,Organic,35,218,0,10,22,0
Wayne,United States,North America,/gallery,Examples,Organic,18,188,1,10,59,0.0169
Wellington,New Zealand,Oceania,/app/6.0/start,User,Facebook,230,147380,1,65,390,0.0026
Westford,United States,North America,/how-it-works,User,Linkedin,69,3907,1,32,65,0.0154
Wexford,United States,North America,/examples,Training,Organic,30,1325,0,10,52,0
Wexford,United States,North America,/gallery/high-school-graduation-rates,Examples,Organic,37,1690,0,10,21,0
Zhytomyr,Ukraine,Europe,/app/6.0/start,User,Facebook,310,14300,1,100,270,0.0037
Ardmore,United States,North America,/gallery/gannett-award,Examples,Linkedin,27,20,0,10,29,0
Austin,United States,North America,/knowledgebase/sharing-views,User,Facebook,15,2127,0,4,23,0
Barcelona,Spain,Europe,/download,Register,Linkedin,344,712,1,80,416,0.0024
Bideford,United Kingdom,Europe,/download,Register,Linkedin,48,2920,0,40,136,0
Boise,United States,North America,/gallery,Examples,Linkedin,26,475,0,10,52,0
Bratislava,Slovakia,Europe,/gallery,Examples,Facebook,1750,43120,2,490,860,0.0023
Brentford,United Kingdom,Europe,/download,Register,Facebook,132,6760,0,40,220,0
Brentford,United Kingdom,Europe,/how-it-works?build=7000.12.1018.2200,User,Facebook,180,2412,0,92,176,0
Brussels,Belgium,Europe,/gallery,Examples,Linkedin,180,15300,1,100,530,0.0019
Buenos Aires,Argentina,South America,/how-it-works,User,Linkedin,192,1362,1,186,276,0.0036
Buenos Aires,Argentina,South America,/gallery,Examples,Linkedin,198,1188,6,60,222,0.027
Burlington,United States,North America,/gallery,Examples,Linkedin,33,5509,0,10,44,0
Calgary,Canada,North America,/upgrade,User,Facebook,216,1482,1,90,282,0.0035
Carol Stream,United States,North America,/gallery/us-population-race,Examples,Organic,24,440,0,10,27,0
Changzhou,China,Asia,/download,Register,Linkedin,168,3560,1,80,480,0.0021
Charlotte,United States,North America,/gallery/college-football-recruiting,Examples,Organic,45,1080,0,10,28,0
Charlotte,United States,North America,/gallery/world-internet-usage,Examples,Linkedin,10,520,0,10,20,0
Chicago,United States,North America,/gallery/us-population-race,Examples,Organic,42,790,0,10,40,0
Chungli,Taiwan,Asia,/knowledgebase/best-practices-designing-piecees-and-dashboards,User,Organic,570,20700,0,180,290,0
Columbia,United States,North America,/comparison,User,Linkedin,14,1630,1,10,59,0.0169
Dallas,United States,North America,/gallery/holiday-work-visa,Examples,Facebook,62,1920,0,20,59,0
Dallas,United States,North America,/gallery,Examples,Linkedin,48,1470,0,10,29,0
Dunn Loring,United States,North America,/gallery/holiday-work-visa,Examples,Facebook,16,1330,0,10,55,0
Durham,United States,North America,/gallery/holiday-work-visa,Examples,Twitter,26,1110,0,10,33,0
Edison,United States,North America,/gallery/holiday-work-visa,Examples,Linkedin,32,990,1,10,60,0.0167
Emmaus,United States,North America,/download,Register,Linkedin,31,590,0,10,34,0
Florence,Italy,Europe,/gallery/are-you-ready-some-football,Examples,Linkedin,376,8464,1,80,336,0.003
Frankfurt am Main,Germany,Europe,/gallery,Examples,Facebook,312,392,1,80,376,0.0027
Harpenden,United Kingdom,Europe,/how-it-works,User,Organic,200,2136,1,68,256,0.0039
Harpenden,United Kingdom,Europe,/examples,Training,Organic,80,832,0,40,148,0
Herndon,United States,North America,/download,Register,Linkedin,27,530,0,10,38,0
Hilo,United States,North America,/gallery/taleof100,Examples,Organic,24,460,0,10,53,0
Hong Kong,Hong Kong,Asia,/gallery,Examples,Linkedin,290,16100,1,100,390,0.0026
Hopkins,United States,North America,/gallery/holiday-work-visa,Examples,Linkedin,17,1650,1,10,39,0.0256
Houston,United States,North America,/thanks,User,Linkedin,47,1440,0,16,62,0
Houston,United States,North America,/how-it-works,User,Linkedin,10,979,0,3,44,0
Indianapolis,United States,North America,/download,Register,Linkedin,30,119,0,10,59,0
Istanbul,Turkey,Europe,/gallery/how-burn-most-calories,Examples,Twitter,1180,87910,2,590,770,0.0026
Izmir,Turkey,Europe,/gallery/how-burn-most-calories,Examples,Twitter,810,42630,10,350,670,0.0149
Jackson,United States,North America,/gallery/holiday-work-visa,Examples,Twitter,19,1300,0,10,41,0
Johor Bahru,Malaysia,Asia,/gallery/ipad-visualization,Examples,Organic,140,16700,1,100,300,0.0033
Karaman,Turkey,Europe,/gallery/how-burn-most-calories,Examples,Twitter,420,17400,2,100,520,0.0038
Krefeld,Germany,Europe,/download,Register,Organic,200,9024,1,80,272,0.0037
Las Vegas,United States,North America,/upgrade,User,Twitter,47,1638,1,13,58,0.0172
Las Vegas,United States,North America,/download,Register,Linkedin,12,178,1,10,42,0.0238
London,United Kingdom,Europe,/download,Register,Linkedin,48,436,1,40,224,0.0045
Madrid,Spain,Europe,/gallery,Examples,Organic,168,7600,1,80,408,0.0025
Melbourne,Australia,Oceania,/gallery,Examples,Organic,66,5220,1,60,228,0.0044
Melbourne,Australia,Oceania,/download,Register,Linkedin,270,2196,1,60,150,0.0067
Mesa,United States,North America,/gallery/ipad-visualization,Examples,Organic,38,1410,0,10,51,0
Montreal,Canada,North America,/download,Register,Organic,270,5040,1,60,336,0.003
Morelia,Mexico,North America,/download,Register,Organic,370,9000,2,50,430,0.0047
Moron,Argentina,South America,/download,Register,Linkedin,276,8580,6,60,210,0.0286
Moscow,Russia,Europe,/download,Register,Linkedin,170,2080,2,100,570,0.0035
Moscow,Russia,Europe,/gallery/world-internet-usage,Examples,Facebook,220,15900,1,100,370,0.0027
Nanning,China,Asia,/how-it-works,User,Facebook,768,58872,0,192,376,0
Nashville,United States,North America,/download,Register,Linkedin,46,158,0,10,44,0
New York,United States,North America,/gallery/stds,Examples,Organic,44,1300,0,10,52,0
New York,United States,North America,/how-it-works,User,Linkedin,19,1510,0,10,48,0
New York,United States,North America,/gallery/world-internet-usage,Examples,Organic,46,1700,0,10,33,0
North Bay,Canada,North America,/how-it-works,User,Linkedin,162,6114,1,66,180,0.0056
Oxford,United Kingdom,Europe,/knowledgebase/sharing-views,User,Linkedin,184,5252,0,52,140,0
Philadelphia,United States,North America,/how-it-works,User,Linkedin,34,1650,0,10,20,0
Pilar,Argentina,South America,/download,Register,Linkedin,288,4380,0,60,264,0
Pune,India,Asia,/download,Register,Linkedin,66,714,0,60,228,0
Raleigh,United States,North America,/examples,Training,Facebook,36,307,0,10,50,0
Rastatt,Germany,Europe,/faq,User,Facebook,264,7600,0,80,456,0
Rastatt,Germany,Europe,/how-it-works,User,Facebook,168,14160,8,80,184,0.0435
Redlands,United States,North America,/download,Register,Organic,28,188,0,10,22,0
Rock Hill,United States,North America,/knowledgebase/sharing-views,User,Organic,21,1872,0,12,60,0
s Gravenhage,Netherlands,Europe,/gallery/best-chess-openings,Examples,Facebook,232,9280,0,80,304,0
San Francisco,United States,North America,/gallery,Examples,Organic,16,89,0,10,36,0
Santa Clara,United States,North America,/gallery/taleof100,Examples,Facebook,48,900,0,10,29,0
Santa Fe,Argentina,South America,/download,Register,Linkedin,258,3084,6,60,162,0.037
Santiago,Chile,South America,/download,Register,Twitter,180,3660,1,100,270,0.0037
Seattle,United States,North America,/how-it-works,User,Facebook,16,1280,0,10,54,0
Setubal,Portugal,Europe,/download,Register,Facebook,680,10090,6,400,880,0.0068
Sheffield,United Kingdom,Europe,/how-it-works,User,Facebook,172,6160,1,40,188,0.0053
Silver Spring,United States,North America,/download,Register,Organic,30,79,0,10,28,0
South Pasadena,United States,North America,/download,Register,Linkedin,15,148,1,10,26,0.0385
Southlake,United States,North America,/download,Register,Organic,15,1410,0,10,39,0
Stanford,United States,North America,/download,Register,Facebook,23,89,0,10,36,0
Sydney,Australia,Oceania,/faq,User,Organic,150,8820,0,60,258,0
Toronto,Canada,North America,/gallery,Examples,Linkedin,72,5940,0,60,216,0
Toronto,Canada,North America,/gallery/topic/Travel-and-Lifestyle,Examples,Organic,72,7596,6,60,156,0.0385
Vernon Hills,United States,North America,/gallery/spending-president,Examples,Organic,11,1370,0,10,51,0
Versailles,France,Europe,/download,Register,Twitter,344,6248,1,80,368,0.0027
Villanova,United States,North America,/download,Register,Facebook,41,600,0,10,27,0
Vincente Lopez,Argentina,South America,/download,Register,Linkedin,132,4920,1,60,186,0.0054
Voronezh,Russia,Europe,/gallery,Examples,Linkedin,430,12600,1,100,560,0.0018
Wallingford,United States,North America,/gallery/poverty-italy,Examples,Organic,38,1360,0,10,59,0
Washington,United States,North America,/gallery/us-population-race,Examples,Facebook,50,1620,0,10,34,0
Washington,United States,North America,/gallery/us-population-race,Examples,Organic,28,1060,0,10,30,0
Zaragoza,Spain,Europe,/download,Register,Linkedin,248,2768,2,80,416,0.0048
Albuquerque,United States,North America,/how-it-works,User,Linkedin,19,376,1,9,56,0.0179
Allen,United States,North America,/download,Register,Linkedin,44,208,0,10,35,0
Alviso,United States,North America,/download,Register,Organic,26,1690,0,10,26,0
Ardmore,United States,North America,/gallery/gannett-award,Examples,Linkedin,78,4500,0,30,56,0
Auckland,New Zealand,Oceania,/how-it-works,User,Linkedin,50,790,1,10,350,0.0029
Austin,United States,North America,/gallery,Examples,Organic,23,1040,0,10,53,0
Austin,United States,North America,/comparison,User,Organic,42,900,0,10,46,0
Austin,United States,North America,/download,Register,Organic,24,396,0,10,30,0
Bayonne,France,Europe,/gallery/london-bus,Examples,Organic,176,14400,2,80,480,0.0042
Beijing,China,Asia,/gallery/taleof100,Examples,Linkedin,168,8960,1,80,440,0.0023
Bellevue,United States,North America,/gallery,Examples,Facebook,20,158,0,10,42,0
Berlin,Germany,Europe,/gallery/world-internet-usage,Examples,Facebook,144,8240,0,80,184,0
